(13502) [13502,13502]
0 (250) [0,13502]
1 (57) [0,13502]
2 (45) [0,13502]
3 (458) [0,13502]
4 (649) [0,13502]
5 (293) [0,13502]
6 (541) [0,13502]
7 (5) [0,13502]
8 (86) [0,13502]
9 (4) [0,13502]
10 (298) [0,13502]
11 (230) [0,13502]
12 (205) [0,13502]
13 (83) [0,13502]
14 (64) [0,13502]
15 (203) [0,13502]
16 (68) [0,13502]
17 (40) [0,13502]
18 (19) [0,13502]
19 (21) [0,13502]
20 (81) [0,13502]
21 (429) [0,13502]
22 (123) [0,13502]
23 (21) [0,13502]
24 (148) [0,13502]
25 (80) [0,13502]
26 (193) [0,13502]
27 (68) [0,13502]
28 (33) [0,13502]
29 (31) [0,13502]
30 (469) [0,13502]
31 (542) [0,13502]
32 (110) [0,13502]
33 (215) [0,13502]
34 (10) [0,13502]
35 (920) [0,13502]
36 (965) [0,13502]
37 (515) [0,13502]
38 (26) [0,13502]
39 (838) [0,13502]
40 (7) [0,13502]
41 (140) [0,13502]
42 (1546) [0,13502]
43 (14) [0,13502]
44 (652) [0,13502]
45 (58) [0,13502]
46 (106) [0,13502]
47 (59) [0,13502]
48 (99) [0,13502]
49 (93) [0,13502]
50 (16) [0,13502]
51 (87) [0,13502]
52 (28) [0,13502]
53 (6) [0,13502]
54 (16) [0,13502]
55 (275) [0,13502]
56 (139) [0,13502]
57 (24) [0,13502]
58 (319) [0,13502]
59 (32) [0,13502]
60 (36) [0,13502]
61 (514) [0,13502]
62 (43) [0,13502]
63 (386) [0,13502]
64 (30) [0,13502]
65 (54) [0,13502]
66 (16) [0,13502]
67 (5) [0,13502]
68 (330) [0,13502]
69 (8) [0,13502]
70 (62) [0,13502]
71 (472) [0,13502]
72 (69) [0,13502]
73 (28) [0,13502]
74 (31) [0,13502]
75 (47) [0,13502]
76 (91) [0,13502]
77 (66) [0,13502]
78 (620) [0,13502]
79 (16) [0,13502]
80 (54) [0,13502]
81 (3) [0,13502]
82 (292) [0,13502]
83 (11) [0,13502]
84 (28) [0,13502]
85 (41) [0,13502]
86 (18) [0,13502]
87 (240) [0,13502]
88 (382) [0,13502]
89 (13) [0,13502]
90 (27) [0,13502]
91 (27) [0,13502]
92 (18) [0,13502]
93 (3) [0,13502]
94 (56) [0,13502]
95 (235) [0,13502]
96 (45) [0,13502]
97 (62) [0,13502]
98 (16) [0,13502]
99 (116) [0,13502]
100 (753) [0,13502]
101 (14) [0,13502]
102 (26) [0,13502]
103 (20) [0,13502]
104 (75) [0,13502]
105 (10) [0,13502]
106 (58) [0,13502]
107 (12) [0,13502]
108 (4) [0,13502]
109 (190) [0,13502]
110 (162) [0,13502]
111 (114) [0,13502]
112 (66) [0,13502]
113 (31) [0,13502]
114 (78) [0,13502]
115 (321) [0,13502]
116 (229) [0,13502]
117 (20) [0,13502]
118 (210) [0,13502]
119 (25) [0,13502]
120 (23) [0,13502]
121 (205) [0,13502]
122 (35) [0,13502]
123 (8) [0,13502]
124 (844) [0,13502]
125 (1709) [0,13502]
126 (1356) [0,13502]
127 (165) [0,13502]
128 (17) [0,13502]
129 (500) [0,13502]
130 (711) [0,13502]
131 (62) [0,13502]
132 (203) [0,13502]
133 (221) [0,13502]
134 (20) [0,13502]
135 (188) [0,13502]
136 (130) [0,13502]
137 (43) [0,13502]
138 (157) [0,13502]
139 (11) [0,13502]
140 (595) [0,13502]
141 (89) [0,13502]
142 (1205) [0,13502]
143 (72) [0,13502]
144 (482) [0,13502]
145 (133) [0,13502]
146 (298) [0,13502]
147 (681) [0,13502]
148 (129) [0,13502]
149 (241) [0,13502]
150 (322) [0,13502]
151 (216) [0,13502]
152 (120) [0,13502]
153 (37) [0,13502]
154 (239) [0,13502]
155 (32) [0,13502]
156 (461) [0,13502]
157 (47) [0,13502]
158 (5) [0,13502]
159 (2266) [0,13502]
160 (217) [0,13502]
161 (102) [0,13502]
164 (39) [0,13502]
165 (74) [0,13502]
166 (111) [0,13502]
93 6 (2) [0,3]
9 142 (3) [0,4]
67 100 (2) [0,5]
158 61 (2) [0,5]
158 6 (2) [0,5]
158 44 (2) [0,5]
158 159 (2) [0,5]
40 33 (2) [0,7]
40 130 (2) [0,7]
40 36 (2) [0,7]
69 159 (2) [0,8]
123 140 (2) [0,8]
123 36 (2) [0,8]
34 31 (3) [0,10]
34 39 (3) [0,10]
105 88 (2) [0,10]
105 159 (2) [0,10]
83 35 (2) [0,11]
139 142 (3) [0,11]
107 112 (2) [0,12]
107 31 (2) [0,12]
107 140 (2) [0,12]
107 39 (3) [0,12]
107 125 (2) [0,12]
107 159 (3) [0,12]
89 32 (2) [0,13]
89 39 (2) [0,13]
89 124 (2) [0,13]
89 126 (2) [0,13]
89 159 (2) [0,13]
43 35 (2) [0,14]
43 125 (2) [0,14]
101 111 (2) [0,14]
101 68 (2) [0,14]
101 4 (2) [0,14]
101 126 (2) [0,14]
101 125 (2) [0,14]
101 159 (4) [0,14]
50 4 (2) [0,16]
50 147 (2) [0,16]
50 142 (2) [0,16]
50 126 (2) [0,16]
50 125 (3) [0,16]
50 159 (2) [0,16]
